#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.114889E-04   0.189589E+06   0.189589E+06   0.252784E+06   0.252784E+06   0.000000E+00   0.189589E+06   0.189589E+06   0.198922E+06  -0.605258E+00   0.188722E+06   0.188722E+06   0.508699E+00
   0.126972E-04   0.189589E+06   0.189589E+06   0.252784E+06   0.252784E+06   0.000000E+00   0.189589E+06   0.189589E+06   0.198922E+06  -0.605258E+00   0.188722E+06   0.188722E+06   0.562200E+00
   0.140326E-04   0.189589E+06   0.189589E+06   0.252783E+06   0.252783E+06   0.000000E+00   0.189589E+06   0.189589E+06   0.198922E+06  -0.605258E+00   0.188722E+06   0.188722E+06   0.621327E+00
   0.155084E-04   0.189589E+06   0.189589E+06   0.252783E+06   0.252783E+06   0.000000E+00   0.189589E+06   0.189589E+06   0.198922E+06  -0.605258E+00   0.188722E+06   0.188722E+06   0.686672E+00
   0.171394E-04   0.189589E+06   0.189589E+06   0.252783E+06   0.252782E+06   0.000000E+00   0.189589E+06   0.189589E+06   0.198922E+06  -0.605258E+00   0.188722E+06   0.188722E+06   0.758890E+00
   0.189420E-04   0.189589E+06   0.189589E+06   0.252782E+06   0.252782E+06   0.000000E+00   0.189589E+06   0.189589E+06   0.198922E+06  -0.605258E+00   0.188722E+06   0.188722E+06   0.838703E+00
   0.209342E-04   0.189589E+06   0.189589E+06   0.252782E+06   0.252781E+06   0.000000E+00   0.189589E+06   0.189589E+06   0.198922E+06  -0.605258E+00   0.188722E+06   0.188722E+06   0.926910E+00
   0.231358E-04   0.189589E+06   0.189588E+06   0.252781E+06   0.252780E+06   0.000000E+00   0.189589E+06   0.189589E+06   0.198922E+06  -0.605258E+00   0.188721E+06   0.188721E+06   0.102439E+01
   0.255691E-04   0.189588E+06   0.189588E+06   0.252780E+06   0.252779E+06   0.000000E+00   0.189588E+06   0.189588E+06   0.198922E+06  -0.605257E+00   0.188721E+06   0.188721E+06   0.113213E+01
   0.282582E-04   0.189588E+06   0.189588E+06   0.252779E+06   0.252778E+06   0.000000E+00   0.189588E+06   0.189588E+06   0.198922E+06  -0.605257E+00   0.188721E+06   0.188721E+06   0.125120E+01
   0.312301E-04   0.189588E+06   0.189588E+06   0.252777E+06   0.252776E+06   0.000000E+00   0.189588E+06   0.189588E+06   0.198922E+06  -0.605257E+00   0.188721E+06   0.188721E+06   0.138279E+01
   0.345146E-04   0.189588E+06   0.189588E+06   0.252776E+06   0.252774E+06   0.000000E+00   0.189588E+06   0.189588E+06   0.198922E+06  -0.605256E+00   0.188721E+06   0.188721E+06   0.152821E+01
   0.381445E-04   0.189588E+06   0.189588E+06   0.252774E+06   0.252772E+06   0.000000E+00   0.189588E+06   0.189588E+06   0.198921E+06  -0.605255E+00   0.188721E+06   0.188721E+06   0.168894E+01
   0.421562E-04   0.189588E+06   0.189588E+06   0.252771E+06   0.252769E+06   0.000000E+00   0.189588E+06   0.189588E+06   0.198921E+06  -0.605255E+00   0.188721E+06   0.188721E+06   0.186656E+01
   0.465898E-04   0.189588E+06   0.189588E+06   0.252768E+06   0.252766E+06   0.000000E+00   0.189588E+06   0.189588E+06   0.198921E+06  -0.605254E+00   0.188721E+06   0.188721E+06   0.206287E+01
   0.514897E-04   0.189588E+06   0.189588E+06   0.252764E+06   0.252761E+06   0.000000E+00   0.189588E+06   0.189588E+06   0.198921E+06  -0.605253E+00   0.188721E+06   0.188721E+06   0.227982E+01
   0.569050E-04   0.189587E+06   0.189587E+06   0.252760E+06   0.252756E+06   0.000000E+00   0.189587E+06   0.189587E+06   0.198920E+06  -0.605251E+00   0.188720E+06   0.188720E+06   0.251958E+01
   0.628897E-04   0.189587E+06   0.189587E+06   0.252754E+06   0.252750E+06   0.000000E+00   0.189587E+06   0.189587E+06   0.198920E+06  -0.605250E+00   0.188720E+06   0.188720E+06   0.278457E+01
   0.695039E-04   0.189587E+06   0.189586E+06   0.252747E+06   0.252742E+06   0.000000E+00   0.189587E+06   0.189587E+06   0.198919E+06  -0.605248E+00   0.188720E+06   0.188720E+06   0.307741E+01
